date,market_cap,metcalfe_market_cap
1/3/09,0.0,0.0775
1/4/09,0.0,0.0
1/5/09,0.0,0.0
1/6/09,0.0,0.0
1/7/09,0.0,0.0
1/8/09,0.0,0.0
1/9/09,0.0,15.19
1/10/09,0.0,74.4775
1/11/09,0.0,870.79
1/12/09,0.0,714.24
1/13/09,0.0,1060.8975
1/14/09,0.0,1230.39
1/15/09,0.0,1433.44
1/16/09,0.0,1060.8975
1/17/09,0.0,920.7775
1/18/09,0.0,790.5775
1/19/09,0.0,1116.0
1/20/09,0.0,1079.11
1/21/09,0.0,1024.9375
1/22/09,0.0,447.64
1/23/09,0.0,358.36
1/24/09,0.0,3131.0775
1/25/09,0.0,2946.9375
1/26/09,0.0,1042.84
1/27/09,0.0,854.4375
1/28/09,0.0,822.1975
1/29/09,0.0,1153.51
1/30/09,0.0,1153.51
1/31/09,0.0,1289.6775
2/1/09,0.0,1079.11
2/2/09,0.0,1249.9975
2/3/09,0.0,1629.4375
2/4/09,0.0,1289.6775
2/5/09,0.0,1134.6775
2/6/09,0.0,1289.6775
2/7/09,0.0,1329.9775
2/8/09,0.0,1412.4375
2/9/09,0.0,1289.6775
2/10/09,0.0,1249.9975
2/11/09,0.0,1350.36
2/12/09,0.0,1097.4775
2/13/09,0.0,1191.64
2/14/09,0.0,1540.7775
2/15/09,0.0,1210.9375
2/16/09,0.0,1172.4975
2/17/09,0.0,1097.4775
2/18/09,0.0,1191.64
2/19/09,0.0,1060.8975
2/20/09,0.0,1289.6775
2/21/09,0.0,937.75
2/22/09,0.0,1210.9375
2/23/09,0.0,887.2975
2/24/09,0.0,954.8775
2/25/09,0.0,887.2975
2/26/09,0.0,714.24
2/27/09,0.0,1172.4975
2/28/09,0.0,822.1975
3/1/09,0.0,887.2975
3/2/09,0.0,838.24
3/3/09,0.0,887.2975
3/4/09,0.0,870.79
3/5/09,0.0,903.96
3/6/09,0.0,1097.4775
3/7/09,0.0,954.8775
3/8/09,0.0,1024.9375
3/9/09,0.0,989.5975
3/10/09,0.0,854.4375
3/11/09,0.0,903.96
3/12/09,0.0,1097.4775
3/13/09,0.0,1024.9375
3/14/09,0.0,1042.84
3/15/09,0.0,954.8775
3/16/09,0.0,1329.9775
3/17/09,0.0,1024.9375
3/18/09,0.0,937.75
3/19/09,0.0,1172.4975
3/20/09,0.0,1097.4775
3/21/09,0.0,459.4975
3/22/09,0.0,714.24
3/23/09,0.0,1350.36
3/24/09,0.0,854.4375
3/25/09,0.0,1042.84
3/26/09,0.0,1007.19
3/27/09,0.0,937.75
3/28/09,0.0,1116.0
3/29/09,0.0,972.16
3/30/09,0.0,1210.9375
3/31/09,0.0,1007.19
4/1/09,0.0,887.2975
4/2/09,0.0,1116.0
4/3/09,0.0,989.5975
4/4/09,0.0,989.5975
4/5/09,0.0,1289.6775
4/6/09,0.0,1042.84
4/7/09,0.0,759.5775
4/8/09,0.0,838.24
4/9/09,0.0,759.5775
4/10/09,0.0,822.1975
4/11/09,0.0,1172.4975
4/12/09,0.0,1024.9375
4/13/09,0.0,1097.4775
4/14/09,0.0,1249.9975
4/15/09,0.0,972.16
4/16/09,0.0,1172.4975
4/17/09,0.0,1024.9375
4/18/09,0.0,1210.9375
4/19/09,0.0,1134.6775
4/20/09,0.0,1079.11
4/21/09,0.0,1230.39
4/22/09,0.0,1134.6775
4/23/09,0.0,496.0
4/24/09,0.0,989.5975
4/25/09,0.0,1153.51
4/26/09,0.0,937.75
4/27/09,0.0,854.4375
4/28/09,0.0,1060.8975
4/29/09,0.0,1172.4975
4/30/09,0.0,1370.8975
5/1/09,0.0,1172.4975
5/2/09,0.0,1210.9375
5/3/09,0.0,1042.84
5/4/09,0.0,1230.39
5/5/09,0.0,1370.8975
5/6/09,0.0,1475.91
5/7/09,0.0,1134.6775
5/8/09,0.0,1153.51
5/9/09,0.0,641.7775
5/10/09,0.0,297.91
5/11/09,0.0,1134.6775
5/12/09,0.0,1249.9975
5/13/09,0.0,1079.11
5/14/09,0.0,1475.91
5/15/09,0.0,1651.99
5/16/09,0.0,1024.9375
5/17/09,0.0,1210.9375
5/18/09,0.0,1191.64
5/19/09,0.0,775.0
5/20/09,0.0,838.24
5/21/09,0.0,613.8775
5/22/09,0.0,533.8975
5/23/09,0.0,3.7975
5/24/09,0.0,714.24
5/25/09,0.0,972.16
5/26/09,0.0,989.5975
5/27/09,0.0,1210.9375
5/28/09,0.0,822.1975
5/29/09,0.0,903.96
5/30/09,0.0,822.1975
5/31/09,0.0,1079.11
6/1/09,0.0,435.9375
6/2/09,0.0,613.8775
6/3/09,0.0,744.31
6/4/09,0.0,117.8775
6/5/09,0.0,251.7975
6/6/09,0.0,44.64
6/7/09,0.0,1.24
6/8/09,0.0,401.76
6/9/09,0.0,684.79
6/10/09,0.0,533.8975
6/11/09,0.0,670.2975
6/12/09,0.0,641.7775
6/13/09,0.0,424.39
6/14/09,0.0,379.75
6/15/09,0.0,521.11
6/16/09,0.0,412.9975
6/17/09,0.0,459.4975
6/18/09,0.0,508.4775
6/19/09,0.0,586.5975
6/20/09,0.0,546.84
6/21/09,0.0,435.9375
6/22/09,0.0,508.4775
6/23/09,0.0,447.64
6/24/09,0.0,600.16
6/25/09,0.0,424.39
6/26/09,0.0,627.75
6/27/09,0.0,559.9375
6/28/09,0.0,217.6975
6/29/09,0.0,447.64
6/30/09,0.0,613.8775
7/1/09,0.0,546.84
7/2/09,0.0,401.76
7/3/09,0.0,559.9375
7/4/09,0.0,613.8775
7/5/09,0.0,496.0
7/6/09,0.0,641.7775
7/7/09,0.0,307.5975
7/8/09,0.0,483.6775
7/9/09,0.0,508.4775
7/10/09,0.0,521.11
7/11/09,0.0,546.84
7/12/09,0.0,447.64
7/13/09,0.0,447.64
7/14/09,0.0,401.76
7/15/09,0.0,163.99
7/16/09,0.0,368.9775
7/17/09,0.0,327.4375
7/18/09,0.0,0.6975
7/19/09,0.0,209.56
7/20/09,0.0,435.9375
7/21/09,0.0,447.64
7/22/09,0.0,368.9775
7/23/09,0.0,337.59
7/24/09,0.0,435.9375
7/25/09,0.0,217.6975
7/26/09,0.0,13.0975
7/27/09,0.0,317.44
7/28/09,0.0,150.04
7/29/09,0.0,79.36
7/30/09,0.0,22.3975
7/31/09,0.0,11.16
8/1/09,0.0,40.9975
8/2/09,0.0,69.75
8/3/09,0.0,17.4375
8/4/09,0.0,260.71
8/5/09,0.0,641.7775
8/6/09,0.0,714.24
8/7/09,0.0,424.39
8/8/09,0.0,546.84
8/9/09,0.0,744.31
8/10/09,0.0,521.11
8/11/09,0.0,347.8975
8/12/09,0.0,358.36
8/13/09,0.0,508.4775
8/14/09,0.0,327.4375
8/15/09,0.0,89.59
8/16/09,0.0,48.4375
8/17/09,0.0,22.3975
8/18/09,0.0,6.2775
8/19/09,0.0,17.4375
8/20/09,0.0,44.64
8/21/09,0.0,19.84
8/22/09,0.0,4.96
8/23/09,0.0,11.16
8/24/09,0.0,4.96
8/25/09,0.0,234.4375
8/26/09,0.0,136.71
8/27/09,0.0,89.59
8/28/09,0.0,317.44
8/29/09,0.0,533.8975
8/30/09,0.0,641.7775
8/31/09,0.0,699.4375
9/1/09,0.0,483.6775
9/2/09,0.0,358.36
9/3/09,0.0,288.3775
9/4/09,0.0,307.5975
9/5/09,0.0,390.6775
9/6/09,0.0,401.76
9/7/09,0.0,483.6775
9/8/09,0.0,337.59
9/9/09,0.0,260.71
9/10/09,0.0,288.3775
9/11/09,0.0,358.36
9/12/09,0.0,390.6775
9/13/09,0.0,379.75
9/14/09,0.0,508.4775
9/15/09,0.0,243.04
9/16/09,0.0,269.7775
9/17/09,0.0,559.9375
9/18/09,0.0,508.4775
9/19/09,0.0,390.6775
9/20/09,0.0,483.6775
9/21/09,0.0,424.39
9/22/09,0.0,94.9375
9/23/09,0.0,60.76
9/24/09,0.0,521.11
9/25/09,0.0,806.31
9/26/09,0.0,684.79
9/27/09,0.0,627.75
9/28/09,0.0,600.16
9/29/09,0.0,559.9375
9/30/09,0.0,586.5975
10/1/09,0.0,559.9375
10/2/09,0.0,447.64
10/3/09,0.0,260.71
10/4/09,0.0,288.3775
10/5/09,0.0,260.71
10/6/09,0.0,136.71
10/7/09,0.0,201.5775
10/8/09,0.0,379.75
10/9/09,0.0,471.51
10/10/09,0.0,459.4975
10/11/09,0.0,483.6775
10/12/09,0.0,307.5975
10/13/09,0.0,201.5775
10/14/09,0.0,243.04
10/15/09,0.0,559.9375
10/16/09,0.0,337.59
10/17/09,0.0,234.4375
10/18/09,0.0,327.4375
10/19/09,0.0,759.5775
10/20/09,0.0,954.8775
10/21/09,0.0,559.9375
10/22/09,0.0,600.16
10/23/09,0.0,586.5975
10/24/09,0.0,435.9375
10/25/09,0.0,424.39
10/26/09,0.0,327.4375
10/27/09,0.0,347.8975
10/28/09,0.0,317.44
10/29/09,0.0,201.5775
10/30/09,0.0,297.91
10/31/09,0.0,156.9375
11/1/09,0.0,69.75
11/2/09,0.0,84.3975
11/3/09,0.0,251.7975
11/4/09,0.0,297.91
11/5/09,0.0,327.4375
11/6/09,0.0,186.0775
11/7/09,0.0,447.64
11/8/09,0.0,379.75
11/9/09,0.0,327.4375
11/10/09,0.0,390.6775
11/11/09,0.0,390.6775
11/12/09,0.0,379.75
11/13/09,0.0,412.9975
11/14/09,0.0,533.8975
11/15/09,0.0,714.24
11/16/09,0.0,775.0
11/17/09,0.0,641.7775
11/18/09,0.0,483.6775
11/19/09,0.0,412.9975
11/20/09,0.0,546.84
11/21/09,0.0,459.4975
11/22/09,0.0,775.0
11/23/09,0.0,714.24
11/24/09,0.0,806.31
11/25/09,0.0,559.9375
11/26/09,0.0,471.51
11/27/09,0.0,435.9375
11/28/09,0.0,471.51
